ACCESS POINT	Part of a Terrain that connects different elevation levels. Models moving through an ACCESS POINT can change their elevation.	Core Rules Part 11 · p. 82
ACTIVE PLAYER	The player whose turn it is to act.	Core Rules Part 11 · p. 82
ANTI-EVADE (X)	When resolving an attack with this weapon against Enemy Units, the target Unit suffers a -X Modifier to its Evade Roll for this attack (Part 8.7.4, Step 4).	Core Rules Part 11 · p. 82
ARMY SLOT	Army Slots determine how many and what types of Units may be included in an army. Each Army Slot has a specific type: Core, Elite, Support, Air, or Hero. Every Unit occupies a number of Army Slots of its designated type equal to its starting Supply Value. The Faction Card provides the initial pool of Army Slots. Additional Army Slots are unlocked by purchasing Tactical Cards with Vespene Gas during Army Building (Part 9.1.5). Unused Army Slots are lost – they cannot be converted, exchanged, or carried forward.	Core Rules Part 11 · p. 82
AVAILABLE SUPPLY	Available Supply is the remaining Supply capacity available for new deployments. It equals the current Supply Pool minus the Total Current Supply Value of all Friendly Units on the battlefield (Part 8.3.2). A Unit may only be deployed from Reserves if its Current Supply Value is less than or equal to the Available Supply. At no point may the Total Current Supply of a player’s on-table Units exceed the Supply Pool. Units Destroyed or reduced by casualties free up Available Supply for new arrivals. In the final Round of the game, the Supply Pool becomes unlimited, and the Available Supply restrictions are lifted.	Core Rules Part 11 · p. 82
BLOCKING TERRAIN	Any terrain piece with an Effective Size of 1 or greater. Blocking Terrain obstructs Line of Sight according to the Cover rules (Part 7.1.1). Whether a model may move through that terrain is determined separately by the movement rules, terrain Size, ACCESS POINTS, Gap Clearance, and any relevant terrain keywords.	Core Rules Part 11 · p. 82
BUFF [Characteristic] (X)	The Unit gains a bonus of X to the specified characteristic until the End of the Round. X Target Number characteristic (e.g. Armour, Hit): reduce the value by X (easier to roll). X Value characteristic (e.g. Speed, RoA): increase the value by X.	Core Rules Part 11 · p. 82
BULKY	This weapon cannot be used to make a Ranged Attack while the Unit is currently Engaged (Part 8.7.3).	Core Rules Part 11 · p. 82
BURROWED	X BURROWED is classified as a Status. X When a Unit gains BURROWED Status it also gains the HIDDEN STATUS. X At the Start of the Round BURROWED Units gain HIDDEN Status. X When BURROWED Status is removed, a Unit also loses HIDDEN Status. X Its Size is treated as 0 for all purposes. X Its Current Supply Value is treated as 0 for Disengage checks. X A BURROWED Unit cannot Control or Contest Mission Markers (overrides Parts 6.2 and 8.9.1). X While BURROWED, the Unit may only perform Deploy, Move, Disengage, Run, Hold and Close Ranks actions. Performing any of these (except Hold) immediately removes the BURROWED status. X BURROWED Units may use Special Abilities unless stated otherwise. X BURROWED Units may make an Evade Roll against every attack targeting them. X Other models may move through a BURROWED Unit’s models, provided they do not end Within the Engagement Range of the BURROWED Unit (overrides Part 8.5.3). X If a BURROWED Unit is Engaged at the start of the Combat Phase, it must be Activated but cannot perform a Close Combat Attack in its BURROWED state. The Unit may perform Close Ranks as its first step, which immediately removes the BURROWED status. Once the status is removed, the Unit completes the remaining steps of the Close Combat Attack normally. If the Unit does not or cannot perform Close Ranks, it does not attack. Enemy Units Engaged with a BURROWED Unit may attack it as normal regardless of its status.	Core Rules Part 11 · p. 82
BURST FIRE Y” (X)	When making a Ranged Attack against a target Within Y” of the attacking model, increase this weapon’s RoA by X for that attack.	Core Rules Part 11 · p. 83
COMBAT TAGS	Combat Tags are keywords printed on a Unit Card that identify a Unit’s physical nature and tactical class. Type Tags: Armoured, Biological, Light, Mechanical, Psionic, Flying, and Ground. X Targeting: Some weapons can fire only at specific Combat Tags (e.g., “Target: Flying”). X Surge: A weapon’s Surge efficiency triggers only when the target has the Combat Tag listed in the weapon’s Surge Type (Part 8.7.4). X Bonuses: Abilities such as ANTI-EVADE (X) or PIERCE (X) often apply only against specific Combat Tags. Note: The Ground Combat Tag and the GROUND LEVEL elevation (Part 8.5.3) are distinct concepts. A Flying Unit standing on the playmat is at GROUND LEVEL but does not have the Ground Combat Tag. Throughout these rules, Ground in bold always refers to the Combat Tag. GROUND LEVEL always refers to elevation.	Core Rules Part 11 · p. 83
CONCENTRATED FIRE (X)	Attacks with this weapon may remove no more than X models as casualties. Once X models have been removed, discard any remaining Total Damage. It is not recorded as a Damage Marker and does not carry over.	Core Rules Part 11 · p. 83
CONTROLLING PLAYER	The player who commands a specific Unit, model, or Token. They make all decisions and roll all dice. Certain abilities (e.g., Neural Parasite) can transfer control; the new controller then acts in every respect as though the Unit were their own.	Core Rules Part 11 · p. 83
CRITICAL HIT (X)	Move X dice from the Armour Pool directly to the Damage Pool, bypassing Armour. CRITICAL HIT can never move more dice than are in the Armour Pool.	Core Rules Part 11 · p. 83
CURRENT SUPPLY VALUE	The Current Supply Value of a Unit is its Supply Value at this moment, based on the number of models remaining in the Unit as shown on the Supply Profile (Part 6.1). Update the Current Supply Value immediately whenever a casualty reduces the model count into a lower bracket. The Current Supply Value is referenced when checking whether a Unit may be deployed from Reserves (Part 8.3.2), when determining Mission Marker Control (Part 8.9.1), when evaluating Tactical Mass for Disengage (Part 8.5.4), and when calculating Victory Points for Supply-based scoring conditions.	Core Rules Part 11 · p. 83
DEBUFF [Characteristic] (X)	The Unit suffers a penalty of X to the specified characteristic until the End of the Round. X Target Number characteristic: increase the value by X (harder to roll). X Value characteristic: decrease the value by X (minimum 0).	Core Rules Part 11 · p. 83
DISPLACEMENT	The Leading Model may end a move overlapping this Token or Unit (overrides Part 7.3.1). If the Leading Model ends any Move, Deploy, Run, Charge, Disengage, Close Ranks or Special Ability move Overlapping this Token or model, the controlling player of the Leading Model immediately sets it in Base-to-Base contact with the Leading Model. If Base-to- Base is not possible, sets it as close as possible.	Core Rules Part 11 · p. 83
DODGE (X)	When this Unit is targeted by an attack, reduce the number of dice moved from the Armour Pool to the Damage Pool by Surge or CRITICAL HIT by X (minimum 0). Apply during the Resolve Surge step.	Core Rules Part 11 · p. 84
