How do Shields work, and can they be healed?	A Unit’s Shield value is added directly to the Hit Points (HP) of its first model. For example, a Zealot (4 HP) with a Shield of 3 gives its first model a total of 7 HP. Lost HP from this combined pool can be healed normally.
When exactly is SHIELDED Status lost?	SHIELDED Status is lost in either of the following two situations: • The Total Damage assigned to the Unit exceeds its Shield value. For example, a Unit with a Shield of 3 only loses its status after taking 4 or more damage, not 3. Because this is checked after damage is resolved, any abilities that reduce incoming damage before it is assigned can prevent the loss of SHIELDED Status. • The first model in the Unit is removed. Once SHIELDED Status is lost, it cannot be restored by healing.
How does non-lethal damage interact with SHIELDED Status?	Non-lethal damage is added to the Unit’s Total Damage Pool and removes SHIELDED Status exactly like standard damage.
Can a destroyed Unit return to the game?	No. Once its last model is removed and a Unit is Destroyed, it cannot return to play. Unless specified otherwise in mission or other rules.
How do you check if a Unit is Out of Coherency for the purpose of contesting objectives?	Unit Coherency is checked only at the end of a movement. If the Unit passed its last check, it remains in Coherency for objective control, regardless of any casualties suffered since then.
Do Gap Clearance rules apply to gaps between models, or only to gaps in or between terrain?	They apply to both. A gap is defined as any physical space between terrain pieces or models through which a moving model’s base must pass.
Can models be placed on the other side of an enemy unit during a Charge or Close Ranks action, even if there are no gaps?	Yes. Coherency Links may pass through Enemy models that your Unit is currently Engaged with. As long as there is open space to place the bases within Coherency, models can be set on the other side of the enemy.
Can a Coherency Link pass through terrain, models, and gaps that the Leading Model could move through, or only gaps?	It can pass through anything the Leading Model can legally traverse. For example, since Zerg Raptors have special movement rules allowing them to traverse IMPASSABLE TERRAIN, other models in the Unit can trace their Coherency Links directly through that terrain piece to stay connected.
Can I place a model onto High Ground from an Access Point using Coherency, or do I need to perform a Move action?	You can do so via Coherency, no separate Move action is required. When a Unit resolves a movement, only the nominated Leading Model measures and moves along a physical path. All other models in the Unit are set on the battlefield, and Coherency Links are explicitly allowed to trace through Access Points to connect models across different elevation levels.
With the Move or Run actions, can I move 0”?	No. A Unit must actually change its position on the battlefield when performing a Move or Run action. If a Unit does not reposition, it is considered to have performed a Hold action instead.
Does the Leading Model have to move its maximum distance during a “directly towards” or “directly away” move?	Yes. The Leading Model must move the maximum possible distance Directly Towards or Directly Away from the target, as applicable.
What happens when a model cannot fit its base on High Ground?	Apply the Wobbly Model Syndrome rules. The centre of the model’s base must remain on the High Ground terrain feature, and the base may overhang the edge by the minimum amount necessary to stand.
How do Gap Clearance checks work with High Ground, and can you move past a model that is less than an inch from its edge?	The edge of a High Ground feature is treated as Impassable Terrain for Gap Clearance purposes. Consequently, any physical space must satisfy the moving model’s Size requirement (1” wide for Size 2 or lower, and 3” wide for Size 3 or larger Units). For example, a Size 3 Siege Tank can drive up a ramp if the gap between the ramp’s edges is at least 3” wide, and it can be placed at the top using the Wobbly Model Syndrome rules if its base cannot fit entirely.
Can a Ground Unit move directly between unconnected High Grounds?	No. Ground Units can only move between connected High Grounds.
Can a model gain Direct Cover by being within 1” of any part of a terrain piece, even if that specific part is not between the model and the attacker, so long as the Line of Sight trace passes through that terrain?	Yes. Direct Cover is established as long as the Line of Sight trace passes through a terrain piece and the model is Within 1” of any part of that same terrain piece. It does not matter if the specific section of the terrain Within 1” is the part physically obstructing the trace.
Can an objective marker be controlled while it is Deactivated?	Yes. Deactivated Mission Markers can still be controlled normally. The rules for determining control apply to all Mission Markers currently on the battlefield, regardless of whether they are flipped to their Activated or Deactivated side.
During the Mission and Deployment draft, when both players have the same card, do I remove a specific card or the card name?	You block only the specific physical card, not its name. Since players can bring identical cards, removing one physical copy from the table does not discard the duplicate copy, which remains a valid choice.
Are the long walls shown in the official map layouts treated as a single terrain feature or as multiple independent terrain pieces?	They are treated as multiple independent terrain pieces.
Can a Flying or BURROWED Unit claim a Controlled Mission Marker in “Artefact Hunt”?	Yes. Rules blocking them from Controlling or Contesting Mission Markers do not prevent them from claiming said markers in the “Artefact Hunt”.
If High Ground is touching the edge of the board, can a Unit deploy directly onto it?	Yes. Models may deploy directly onto High Ground if the player’s Entry Edge physically touches that terrain feature. All standard deployment requirements still apply, meaning the Unit must be placed legally in Coherency.
Does the Omega Network’s ability count as a player’s Entry Edge for rules like Photon Overcharge?	Yes. Both the Omega Worm and a Pylon’s base are treated as friendly Entry Edges owned by the player who placed them. • Because they are Friendly Entry Edges, you can trigger abilities like Burrow Ambush from them, and they are immune to enemy denial effects like Photon Overcharge. • Standard forward-deployment cards and transports (e.g., Proxy Barrack, or Warp Prism) do not create Entry Edges. They simply grant a temporary exception to the rules to deploy without one.,
Can a Unit deployed through a Pylon as an Entry Edge perform any additional actions or resolve abilities?	No. Deploying a Unit this way consumes its entire Activation, which ends immediately upon setup. Once the Unit is placed on the battlefield, you must place an Activation Marker next to it, preventing it from performing any further actions or resolving any other active abilities during that Phase.
Does the Omega Network’s ability generate a Zone of Influence (the restricted area extending 6” from a player’s Entry Edge)?	No. Zones of Influence are only generated by the primary Entry Edges defined by your Deployment Card and are marked exclusively during battlefield setup.
